"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmark.GenBm.generateBoolListBespoke10","avgt",1,5,3299.040097,189.860216,"ns/op"
"benchmark.GenBm.generateBoolListBespoke100","avgt",1,5,30375.534020,1946.589644,"ns/op"
"benchmark.GenBm.generateBoolListBespoke1000","avgt",1,5,310585.285990,17364.119345,"ns/op"
"benchmark.GenBm.generateBoolListBespoke10000","avgt",1,5,2795582.746978,180215.048843,"ns/op"
"benchmark.GenBm.generateBoolListBespokeStaged10","avgt",1,5,438.214854,23.699724,"ns/op"
"benchmark.GenBm.generateBoolListBespokeStaged100","avgt",1,5,3593.307653,128.142919,"ns/op"
"benchmark.GenBm.generateBoolListBespokeStaged1000","avgt",1,5,36146.548496,1935.854681,"ns/op"
"benchmark.GenBm.generateBoolListBespokeStaged10000","avgt",1,5,352442.417940,19486.784550,"ns/op"
"benchmark.GenBm.generateBstBespoke10","avgt",1,5,2928.951863,190.655631,"ns/op"
"benchmark.GenBm.generateBstBespoke100","avgt",1,5,25637.131979,1716.845991,"ns/op"
"benchmark.GenBm.generateBstBespoke1000","avgt",1,5,208794.674048,11955.930149,"ns/op"
"benchmark.GenBm.generateBstBespoke10000","avgt",1,5,2905381.546822,190923.867581,"ns/op"
"benchmark.GenBm.generateBstBespokeStaged10","avgt",1,5,557.912795,21.245713,"ns/op"
"benchmark.GenBm.generateBstBespokeStaged100","avgt",1,5,4189.426677,243.639952,"ns/op"
"benchmark.GenBm.generateBstBespokeStaged1000","avgt",1,5,34045.562786,1909.605101,"ns/op"
"benchmark.GenBm.generateBstBespokeStaged10000","avgt",1,5,470291.068076,26397.355902,"ns/op"
"benchmark.GenBm.generateBstType10","avgt",1,5,3640.871722,245.793438,"ns/op"
"benchmark.GenBm.generateBstType100","avgt",1,5,35111.212394,2632.985687,"ns/op"
"benchmark.GenBm.generateBstType1000","avgt",1,5,339408.854370,175516.022673,"ns/op"
"benchmark.GenBm.generateBstType10000","avgt",1,5,17939795.341716,98077403.648807,"ns/op"
"benchmark.GenBm.generateBstTypeStaged10","avgt",1,5,625.404286,19.960944,"ns/op"
"benchmark.GenBm.generateBstTypeStaged100","avgt",1,5,5064.190887,310.841634,"ns/op"
"benchmark.GenBm.generateBstTypeStaged1000","avgt",1,5,51697.398041,16299.567172,"ns/op"
"benchmark.GenBm.generateBstTypeStaged10000","avgt",1,5,579549.029103,1616613.519820,"ns/op"
"benchmark.GenBm.generateTerm10","avgt",1,5,4066.639718,248.028426,"ns/op"
"benchmark.GenBm.generateTerm100","avgt",1,5,34820.030624,2341.310181,"ns/op"
"benchmark.GenBm.generateTerm1000","avgt",1,5,263447.425276,14780.255051,"ns/op"
"benchmark.GenBm.generateTerm10000","avgt",1,5,4020624.957200,355729.859316,"ns/op"
"benchmark.GenBm.generateTermStaged10","avgt",1,5,734.935948,46.007872,"ns/op"
"benchmark.GenBm.generateTermStaged100","avgt",1,5,5910.529151,228.443717,"ns/op"
"benchmark.GenBm.generateTermStaged1000","avgt",1,5,34808.457023,2603.815029,"ns/op"
"benchmark.GenBm.generateTermStaged10000","avgt",1,5,448507.101906,25905.704160,"ns/op"
